Market Center,Modal Price,Commodity,State
Yemmiganur,3450,Castor Seed,Andhra Pradesh
Yemmiganur,2625,Groundnut,Andhra Pradesh
Yemmiganur,2016.75,Sunflower,Andhra Pradesh
Canacona,5625,Arecanut(Betelnut/Supari),Goa
Canacona,6750,Arecanut(Betelnut/Supari),Goa
Canacona,6000,Arecanut(Betelnut/Supari),Goa
Canacona,8775,Arecanut(Betelnut/Supari),Goa
Canacona,11325,Arecanut(Betelnut/Supari),Goa
Canacona,9900,Arecanut(Betelnut/Supari),Goa
Canacona,5700,Cashewnuts,Goa
Mapusa,300,Banana,Goa
Mapusa,6000,Cashewnuts,Goa
Mapusa,1162.5,Grapes,Goa
Mapusa,487.5,Orange,Goa
Mapusa,412.5,Papaya,Goa
Mapusa,450,Pine Apple,Goa
Ponda,8550,Arecanut(Betelnut/Supari),Goa
Ponda,10725,Arecanut(Betelnut/Supari),Goa
Ponda,9600,Arecanut(Betelnut/Supari),Goa
Ponda,5700,Cashewnuts,Goa
Sanquelim,8812.5,Arecanut(Betelnut/Supari),Goa
Sanquelim,11362.5,Arecanut(Betelnut/Supari),Goa
Sanquelim,9862.5,Arecanut(Betelnut/Supari),Goa
Sanquelim,5700,Cashewnuts,Goa
Valpol,5625,Arecanut(Betelnut/Supari),Goa
Valpol,6750,Arecanut(Betelnut/Supari),Goa
Valpol,6000,Arecanut(Betelnut/Supari),Goa
Annigeri,564.75,Maize,Karnataka
Arasikere,1125,Onion,Karnataka
Arasikere,562.5,Ragi (Finger Millet),Karnataka
Arasikere,2250,Tamarind Fruit,Karnataka
Athani,712.5,Maize,Karnataka
Aurad,1650,Avare Dal,Karnataka
Aurad,622.5,Jowar(Sorgham),Karnataka
Badami,637.5,Bajra(Pearl Millet),Karnataka
Badami,712.5,Jowar(Sorgham),Karnataka
